LOGICIEL,CRITICITE,ID TICKET,TYPE TICKET,PRIORITE,SUJET,STATUT,DATE SIGNALISATION,ETAT REVERSEMENT,VERSION INCLUANT LE REVERSEMENT
KVM,Non-critique,34,Demande d'information,Non bloquant,Configuration réseaux vlans différents,9 - Fermé,11/26/2012 9:58,,
Maarch Enterprise,Non-critique,62,Anomalie,Non bloquant,Gestion des versions d'un document enregistré : pb d'accés,9 - Fermé,12/6/2012 17:25,Accepté sans modification,1.3
Maarch Enterprise,Non-critique,63,Anomalie,Bloquant,Création de document impossible derriere proxy,10 - Abandonné,12/6/2012 17:30,,
Maarch Enterprise,Non-critique,64,Anomalie,Bloquant,"Impossibilité d'utiliser la fonctionnalité de génération de document, type Office, sur un poste Linux",9 - Fermé,12/6/2012 17:33,,
Maarch Enterprise,Non-critique,65,Anomalie,Non bloquant,Suppression de Corbeille,9 - Fermé,12/6/2012 17:36,Accepté sans modification,1.3
Maarch Enterprise,Non-critique,67,Anomalie,Non bloquant,Soucis de prise en compte d'un statut spécifique lors de l'enregistrement d'un document.,9 - Fermé,12/7/2012 9:21,Accepté sans modification,
Maarch Enterprise,Non-critique,68,Demande d'information,Non bloquant,Mise en oeuvre protocole HTTPS,9 - Fermé,12/7/2012 9:24,,
Maarch Enterprise,Non-critique,69,Demande d'information,Non bloquant,Création de collection supplémentaire & Mise en oeuvre,9 - Fermé,12/7/2012 9:27,,
Maarch Enterprise,Non-critique,72,Anomalie,Non bloquant,Anomalie sur deconnexion,9 - Fermé,12/11/2012 17:45,,
Maarch Enterprise,Non-critique,82,Anomalie,Non bloquant,Génération des n° de chrono courrier départ et interne,9 - Fermé,12/13/2012 9:41,Accepté sans modification,1.3
Maarch Enterprise,Non-critique,83,Anomalie,Non bloquant,Recherche avancée,9 - Fermé,12/13/2012 9:59,,
KVM,Non-critique,87,Demande d'information,Non bloquant,Mise en place d'un VLAN sur un bridge utilisant une interface physique déjà utilisée par un autre Bridge,9 - Fermé,12/17/2012 16:09,,
Maarch Enterprise,Non-critique,88,Anomalie,Bloquant,Enregistrement des n° chrono,9 - Fermé,12/17/2012 17:08,,
LibreOffice,Non-critique,89,Anomalie,Non bloquant,Fichier CALC qui pose Probléme à LibreOffice V3.5.7 Windows ,9 - Fermé,12/18/2012 14:44,,
Maarch Enterprise,Non-critique,90,Anomalie,Non bloquant,Notification Mail : destinataires en copie,9 - Fermé,12/18/2012 16:21,,
Maarch Enterprise,Non-critique,91,Anomalie,Non bloquant,Utilisateur supprimé,9 - Fermé,12/18/2012 16:49,,
Maarch Enterprise,Non-critique,92,Demande d'information,Non bloquant,Indexation & Qualification d'un document avec choix de statut,9 - Fermé,12/18/2012 17:49,,
Liferay,Critique,93,Anomalie,Bloquant,Ordre de chargement des fichiers de configuration incorrect,9 - Fermé,12/19/2012 10:07,,
Liferay,Critique,94,Anomalie,Non bloquant,La suppression d'un signet déclenche une boucle infinie,9 - Fermé,12/19/2012 10:12,,
Liferay,Critique,95,Anomalie,Non bloquant,Le caractère ' (quote) placé dans le libellé d'une organisation rend le parcours de la bibliothèque inopérant dans le RTE,9 - Fermé,12/19/2012 10:16,,
Maarch Enterprise,Non-critique,96,Anomalie,Non bloquant,Enregistrement d'une recherche avancée de documents,9 - Fermé,12/19/2012 11:49,Accepté sans modification,1.3
Maarch Enterprise,Non-critique,97,Demande d'information,Non bloquant,Notifications par flux RSS,9 - Fermé,12/19/2012 16:30,,
Liferay,Critique,98,Anomalie,Non bloquant,Prévisualisation impossible pour un contenu avec champ de type image,9 - Fermé,12/20/2012 10:23,,
LibreOffice,Non-critique,99,Anomalie,Non bloquant,Probléme de Logos dans les fichiers RTF,11 - Rejeté,12/28/2012 16:07,,
LibreOffice,Non-critique,100,Anomalie,Non bloquant,Ouverture impossible de certains gros documents avec Libreoffice 3.5.7 (Versions MIMO) ,9 - Fermé,1/3/2013 15:51,,
Liferay,Critique,101,Anomalie,Non bloquant,L'affichage de la bibliothèque de documents et médias est tronqué à droite,9 - Fermé,1/7/2013 10:50,Accepté sans modification,6.2.x
Alfresco community,Critique,102,Anomalie,Bloquant,Migration alfresco 2.2.8 vers 3.4.d,10 - Abandonné,1/11/2013 16:34,,
LibreOffice,Non-critique,104,Anomalie,Non bloquant,Les .doc produits par le Ministère de l'Intérieur sur le site du BIEP sont illisibles sous LibreOffice 3.5.7 (Version Mimo),9 - Fermé,1/15/2013 16:18,Soumis à la communauté,
Liferay,Critique,105,Anomalie,Non bloquant,Impossible de modifier le titre d'une page de wiki,9 - Fermé,1/16/2013 14:45,,
Maarch Enterprise,Non-critique,106,Anomalie,Bloquant,Création d'un document avec un status personnalisé & Notifications,9 - Fermé,1/16/2013 15:11,Accepté sans modification,1.3
Maarch Enterprise,Non-critique,107,Anomalie,Bloquant,Administration des Corbeilles,9 - Fermé,1/16/2013 15:28,,
Liferay,Critique,108,Anomalie,Non bloquant,Le caractère ' (quote) placé dans le libellé d'une organisation rend le parcours de la bibliothèque inopérant dans le RTE,10 - Abandonné,1/16/2013 15:56,,
Maarch Enterprise,Non-critique,109,Anomalie,Bloquant,Recherche plein texte,9 - Fermé,1/16/2013 16:14,Accepté sans modification,1.3
Liferay,Critique,110,Anomalie,Non bloquant,L'ajout automatique du créateur en tant que membre d'une organisation ne fonctionne plus,9 - Fermé,1/16/2013 16:27,,
Liferay,Critique,111,Anomalie,Bloquant,Problème lors de la migration 6.0 -> 6.1,9 - Fermé,1/21/2013 16:08,,
LibreOffice,Non-critique,112,Anomalie,Non bloquant,Regression sur Draw à propos d'un changement d'échelle dans l'affichage des chaines de caractère,9 - Fermé,1/23/2013 16:35,,
Alfresco community,Critique,113,Demande d'information,Non bloquant,Archivage,9 - Fermé,1/24/2013 14:11,,
Liferay,Critique,116,Anomalie,Non bloquant,Le calendrier de révision et de publication des contenus devient grisé,9 - Fermé,1/25/2013 11:20,Accepté avec modification,6.2
Maarch Enterprise,Non-critique,118,Anomalie,Non bloquant,Corbeille en copie,9 - Fermé,1/28/2013 11:21,Accepté sans modification,1.3
Alfresco community,Critique,119,Anomalie,Bloquant,Connexion CIFS via LDAP sur une Alfresco Community.,9 - Fermé,1/28/2013 18:00,,
RoundCube,Critique,120,Anomalie,Non bloquant,Latence lors des connexions au service de messagerie Nomade via le client Roundcube,9 - Fermé,1/30/2013 16:31,,
Tomcat,Non-critique,123,Anomalie,Non bloquant,blocage de l'application Tomcat ,10 - Abandonné,2/5/2013 17:55,,
Alfresco community,Critique,124,Anomalie,Non bloquant,Problème d'index,9 - Fermé,2/7/2013 18:20,,
Liferay,Critique,125,Anomalie,Non bloquant,Le caractère ':' dans un titre de fichier entraîne une erreur,11 - Rejeté,2/8/2013 17:35,,
MANTIS,Critique,129,Demande d'information,Non bloquant,Changement de paramétrage pour le stockage des pièces jointes,9 - Fermé,2/19/2013 10:56,,
